material_id,source_path,material_role,topic_id,topic_title,score,assigned,assignment_reason,keyword_hits
mat_0001,00-initial/01-RNN/Конспект - рекуррентные нейронные сети для начинающих.pdf,legacy_context,,,0.0,False,below_threshold,0
mat_0002,themes/00-Foundations/examples/01_numpy_sequence_basics.ipynb,example,foundations,Foundations,1.4,True,path_hint+keywords,32
mat_0003,themes/00-Foundations/examples/02_minimal_keras_sequence_classifier.ipynb,example,foundations,Foundations,1.4,True,path_hint+keywords,32
mat_0004,themes/00-Foundations/examples/03_tokenization_padding_masking.ipynb,example,foundations,Foundations,1.4,True,path_hint+keywords,89
mat_0005,themes/00-Foundations/examples/04_attention_heatmap_toy.ipynb,example,foundations,Foundations,1.4,True,path_hint+keywords,15
mat_0006,themes/00-Foundations/showcases/01_imdb_many_to_one_showcase.ipynb,showcase,foundations,Foundations,1.4,True,path_hint+keywords,25
mat_0007,themes/00-Foundations/showcases/02_jena_climate_lstm_gru_showcase.ipynb,showcase,foundations,Foundations,1.28,True,path_hint+keywords,12
mat_0008,themes/00-Foundations/showcases/03_spa_eng_seq2seq_attention_showcase.ipynb,showcase,foundations,Foundations,1.4,True,path_hint+keywords,92
mat_0009,themes/00-Foundations/showcases/cards/01_imdb.md,showcase_card,foundations,Foundations,0.92,True,path_hint+keywords,3
mat_0010,themes/00-Foundations/showcases/cards/02_jena_climate.md,showcase_card,foundations,Foundations,0.84,True,path_hint+keywords,1
mat_0011,themes/00-Foundations/showcases/cards/03_spa_eng.md,showcase_card,foundations,Foundations,0.84,True,path_hint+keywords,1
mat_0012,themes/00-Foundations/showcases/cards/04_reuters.md,showcase_card,foundations,Foundations,0.88,True,path_hint+keywords,2
mat_0013,themes/00-Foundations/showcases/cards/05_uci_har.md,showcase_card,foundations,Foundations,0.8,True,path_hint+keywords,0
mat_0014,themes/00-Foundations/showcases/cards/06_shakespeare.md,showcase_card,foundations,Foundations,0.88,True,path_hint+keywords,2
mat_0015,themes/00-Foundations/showcases/cards/07_forda.md,showcase_card,foundations,Foundations,0.84,True,path_hint+keywords,1
mat_0016,themes/00-Foundations/theory/theory.md,theory,foundations,Foundations,1.4,True,path_hint+keywords,27
mat_0017,themes/01-RNN/lab/01_simple_rnn_many_to_one_toy.ipynb,lab,rnn,RNN,1.4,True,path_hint+keywords,62
mat_0018,themes/01-RNN/lab/02_lstm_many_to_many_toy.ipynb,lab,rnn,RNN,1.4,True,path_hint+keywords,69
mat_0019,themes/01-RNN/lab/03_gru_seq2seq_reverse_toy.ipynb,lab,rnn,RNN,1.4,True,path_hint+keywords,79
mat_0020,themes/01-RNN/lab/guides/00_prerequisites_and_notation.md,lab_guide,rnn,RNN,1.4,True,path_hint+keywords,30
mat_0021,themes/01-RNN/lab/guides/00_self_study_debugging_playbook.md,lab_guide,rnn,RNN,1.12,True,path_hint+keywords,8
